query_id	query_text
23	nickel %26 nickel furniture
25	coogi new native t-shirt
72	true bra
97	hibbett sports
100	wireless adapter for samsung model un55es7100
168	detox meals
262	craftsman yt3000 lawn tractor parts
286	denim shoes size 10
293	johnson controls penn p7176
298	finish line
354	1998 10 hp tecumseh carberator kit
359	kohl's
426	petite long dresses with cap slevees
438	wireless adapter for apple
477	gucci
545	cell phone camera
565	cub cadet zero turn mowers
629	tall juniors pants in kahki
678	new balance bb891
695	hollister
701	juice for babies
709	herbal supplements for bloating
711	drain kit for irgersoll rand model irgp40
737	woman within
834	nike acg 3 n 1 hat
835	red brick homes with shutters
887	2011 nitro spark plug wire set
891	nike shoes
1097	macys
1194	walgreens
1210	badcock home furniture
1216	galaxy kids tablet
1261	bigyao pressure washer parts
1270	rear differential tools ford
1315	calories in bone broth
1356	growth hormone
1394	slides
1395	best buy
1400	deadpool jacket for woman
1446	houses for sale
1510	the best senseor camera 2016
1522	evote%27 beauty serum
1539	double bed size
1554	boohoo
1705	qvc
1723	halston heritage
1729	ew men's slides
1735	ikea kitchen
1775	vitamins co.
1784	4 inch rough country lift kit for 2016 ram 2500 4x4 deisel
1812	list of high protien low card low fat foods
1820	plastic template material for countertops
1824	nature plus flax seed
1841	hanes plus size trouser socks
1845	tv organizer shelf
1895	dress barn
1921	low carb diet vitamin supplements
1932	hoiday florring
1948	walmart
2189	in line automotive switch
2237	4 inch pumps
2238	guess
2250	pendors shoes
2254	vitamin c formula
2300	steve madden troppic sandals
2312	tennis panties
2458	virgin mobile plans
2528	m%26w turbo kit for 358d international engine
2538	kids laptop
2567	ikea
2581	new pull string bras
2645	chicos outlet online
2663	discount tire
2674	best vitamins for pcos women
2703	digiarty blu ray player
2741	k%c3%a9rastase nutrients%3a densitive
2775	nutrition facts vitamin c and biotin
2777	solid wood cabinets 10x10 under%243000
2873	laptops 33928
2952	apple
3017	modern dining rooms with fireplaces
3018	tractor tire picture
3051	crossmirror pnuematic valve
3104	betsey johnson
3141	panhandle leather
3148	t-mobile phones for sale
3199	pictures of the iphone6
3275	black sandals with gold metal plate
3283	4640 johndeere engine block heater replacement
3285	baby wool slippers
3330	can i give otc allergy medicine for hives
3372	nike air force 1s red and blue
3510	phone keyboards
3575	christmas blouses for women
3660	chinese keyboard
3697	metro phones
3718	30x60 house plans
3759	"blinds width 113"""
3792	3 tier glass shelves for electronics on wall
3976	cabin craft furniture
4095	petite plus size business suits
4156	one couch
4173	alder wood panels
4196	nutrim
4219	perfect desk setup
4438	kara evening dresses with jackets
4469	top box bed
4559	ford f 250 power steering lines repacement
4626	madden girl gloriee
4642	ridgecrest
4672	chiildren trylenol
4945	when was the latest ipad pro released
4974	vitamins to help lose weight
4991	vacuum pumps flowserve
5127	tj plow
5141	tom ford shoes for men
5258	surface pro 4 specifications
5637	brst buy
6183	john deere blower
6269	girls cowboy boots size 1
