when	strain	lineage	organism	bacterial group	comment
Mycobacterium	None	None	Mycobacterium sp.	unclassified mycobacteria	
Mycobacterium sp\.	None	None	Mycobacterium sp.	unclassified mycobacteria	
\bTB\b	None	None	Mycobacterium tuberculosis	tuberculosis: unclassified	
(?i)Tuberculosis	None	None	Mycobacterium tuberculosis	tuberculosis: unclassified	English, Spanish for "tuberculosis"
(?i)Tuberkulose	None	None	Mycobacterium tuberculosis	tuberculosis: unclassified	German for "tuberculosis"
(?i)Tuberculose	None	None	Mycobacterium tuberculosis	tuberculosis: unclassified	Dutch, French, Portuguese for "tuberculosis"
(?i)Tubercolosi	None	None	Mycobacterium tuberculosis	tuberculosis: unclassified	Italian for "tuberculosis"
(?i)Tuberkulozo	None	None	Mycobacterium tuberculosis	tuberculosis: unclassified	Esperanto for "tuberculosis"
(?i)Tuberkulosis	None	None	Mycobacterium tuberculosis	tuberculosis: unclassified	Bahasa Indonesia, Bahasa Melayu, Tagalog for "tuberculosis"
M\.tb\b	None	None	Mycobacterium tuberculosis	tuberculosis: unclassified	
(?i)MTB complex	None	None	Mycobacterium tuberculosis complex sp.	MTBC	
(?i)\bMtb\b	None	None	Mycobacterium tuberculosis	tuberculosis: unclassified	
MTBC	None	None	Mycobacterium tuberculosis complex sp.	MTBC	
(?i)Mycobacterium tuberculosis$	None	None	Mycobacterium tuberculosis	tuberculosis: unclassified	
(?i)Mycobacteria tuberculosis$	None	None	Mycobacterium tuberculosis	tuberculosis: unclassified	
(?i)Mycobacteria tuberculosis complex	None	None	Mycobacterium tuberculosis complex sp.	MTBC	
(?i)Mycobacterium tb complex	None	None	Mycobacterium tuberculosis complex sp.	MTBC	
(?i)Mycobacterium tuberculosis complex	None	None	Mycobacterium tuberculosis complex sp.	MTBC	
(?i)Mycobacterium tuberculosis complex sp	None	None	Mycobacterium tuberculosis complex sp.	MTBC	
^L1	None	None	Mycobacterium tuberculosis	tuberculosis: human-adapted	generic lineage1 match; leaves lineage column blank to avoid overwriting sublineages
^L2	None	None	Mycobacterium tuberculosis	tuberculosis: human-adapted	generic lineage2 match; leaves lineage column blank to avoid overwriting sublineages
^L3	None	None	Mycobacterium tuberculosis	tuberculosis: human-adapted	generic lineage3 match; leaves lineage column blank to avoid overwriting sublineages
^L4	None	None	Mycobacterium tuberculosis	tuberculosis: human-adapted	generic lineage4 match; leaves lineage column blank to avoid overwriting sublineages
^L5	None	None	Mycobacterium africanum	tuberculosis: human-adapted	generic lineage5 match; leaves lineage column blank to avoid overwriting sublineages
^L6	None	None	Mycobacterium africanum	tuberculosis: human-adapted	generic lineage6 match; leaves lineage column blank to avoid overwriting sublineages
^L7	None	None	Mycobacterium tuberculosis	tuberculosis: human-adapted	generic lineage7 match; leaves lineage column blank to avoid overwriting sublineages
^L8	None	None	Mycobacterium tuberculosis	tuberculosis: human-adapted	generic lineage8 match; leaves lineage column blank to avoid overwriting sublineages
^L9	None	None	Mycobacterium tuberculosis	tuberculosis: human-adapted	generic lineage9 match; leaves lineage column blank to avoid overwriting sublineages
(?i)Leprosy	None	None	Mycobacterium sp. (leprosy)	leprosy	
Ghana	Ghana	L4.1.3	Mycobacterium tuberculosis	tuberculosis: human-adapted	could easily pick up a location instead
Manila	Manila	L1	Mycobacterium tuberculosis	tuberculosis: human-adapted	could easily pick up a location instead
Cameroon	Cameroon	L4.6.2	Mycobacterium tuberculosis	tuberculosis: human-adapted	could easily pick up a location instead
Connaught	Connaught	None	Mycobacterium tuberculosis	tuberculosis: human-adapted	
\bKZN\b	KZN	L4.3	Mycobacterium tuberculosis	tuberculosis: human-adapted	LAM4
M-strain	M	L4.1.2.1	Mycobacterium tuberculosis	tuberculosis: human-adapted	
\bNTM\b	None	None	Mycobacterium sp. (NTM)	NTM: unclassified	
(?i)Nontuberculosis mycobacteria	None	None	Mycobacterium sp. (NTM)	NTM: unclassified	
(?i)Nontuberculosis mycobacterium	None	None	Mycobacterium sp. (NTM)	NTM: unclassified	
(?i)Non-tuberculosis mycobacteria	None	None	Mycobacterium sp. (NTM)	NTM: unclassified	
(?i)Non-tuberculosis mycobacterium	None	None	Mycobacterium sp. (NTM)	NTM: unclassified	
(?i)Non-TB mycobacterium	None	None	Mycobacterium sp. (NTM)	NTM: unclassified	
(?i)Hansen disease	None	None	Mycobacterium sp. (leprosy)	leprosy	
(?i)Hansen's disease	None	None	Mycobacterium sp. (leprosy)	leprosy	
(?i)Hansens disease	None	None	Mycobacterium sp. (leprosy)	leprosy	
M \(L4\.1\.2\.1\)	M-strain	L4.1.2.1	Mycobacterium tuberculosis	tuberculosis: human-adapted	
\bF11\b	F11	None	Mycobacterium tuberculosis	tuberculosis: human-adapted	
ST889	EAI6	L1	Mycobacterium tuberculosis	tuberculosis: human-adapted	
ST-19\b	Manila	L1	Mycobacterium tuberculosis	tuberculosis: human-adapted	
ST281	None	L6	Mycobacterium africanum	tuberculosis: human-adapted	
ST320	None	L6	Mycobacterium africanum	tuberculosis: human-adapted	
ST279	Manila	L1	Mycobacterium tuberculosis	tuberculosis: human-adapted	
(?i)H37Rv	H37Rv	L4	Mycobacterium tuberculosis	tuberculosis: human-adapted	also matches "H37Rv-like" so be careful!
(?i)suricattae	None	None	Mycobacterium suricattae	MTBC	
\bBCG\b	BCG	La1.2	Mycobacterium bovis	tuberculosis: animal-adapted	
(?i)Harlem	Haarlem	L4.1.2	Mycobacterium tuberculosis	tuberculosis: human-adapted	typo of Haarlem, could pick up a location instead
MtZ	Zaragoza	None	Mycobacterium tuberculosis	tuberculosis: human-adapted	
UGII\b	None	L4.6	Mycobacterium tuberculosis	tuberculosis: human-adapted	
ETH\b	None	L4.2.2	Mycobacterium tuberculosis	tuberculosis: human-adapted	could pick up antibiotic code
CAS\b	None	L3	Mycobacterium tuberculosis	tuberculosis: human-adapted	
EAI	None	L1	Mycobacterium tuberculosis	tuberculosis: human-adapted	
LAM\b	None	L4.3	Mycobacterium tuberculosis	tuberculosis: human-adapted	
\(LAM\)	None	L4.3	Mycobacterium tuberculosis	tuberculosis: human-adapted	
Euro-AmericanLAM	None	L4.3	Mycobacterium tuberculosis	tuberculosis: human-adapted	
LAM\(4\.3\.4\.2\)	None	L4.3.4.2	Mycobacterium tuberculosis	tuberculosis: human-adapted	
(?i)Zaragoza	Zaragoza	None	Mycobacterium tuberculosis	tuberculosis: human-adapted	could pick up location
PGG3	PGG3	L4.10	Mycobacterium tuberculosis	tuberculosis: human-adapted	
Ural	Ural	L4.2.1	Mycobacterium tuberculosis	tuberculosis: human-adapted	
Beijing	None	L2.2.1	Mycobacterium tuberculosis	tuberculosis: human-adapted	will also match "proto-Beijing" etc, do matches on those later!
Haarlem	Haarlem	L4.1.2	Mycobacterium tuberculosis	tuberculosis: human-adapted	
(?i)EuroAmerican	None	L4	Mycobacterium tuberculosis	tuberculosis: human-adapted	
(?i)Euro-American	None	L4	Mycobacterium tuberculosis	tuberculosis: human-adapted	
(?i)East-Asian	None	L2	Mycobacterium tuberculosis	tuberculosis: human-adapted	
(?i)EastAsian	None	L2	Mycobacterium tuberculosis	tuberculosis: human-adapted	
\bL 5	None	L5	Mycobacterium africanum	tuberculosis: human-adapted	
\bL 6	None	L6	Mycobacterium africanum	tuberculosis: human-adapted	
East-African-Indian	None	L1	Mycobacterium tuberculosis	tuberculosis: human-adapted	
Delhi-CAS	None	L3	Mycobacterium tuberculosis	tuberculosis: human-adapted	
Indo-Oceanic	None	L1	Mycobacterium tuberculosis	tuberculosis: human-adapted	
