"c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","age","race","marital","educlevl","insured"
4,4,4,4,4,2,4,5,1,3,2,1,2,1,4,5,2,2,1,3,21,1,1,1,1
2,3,5,3,3,2,3,4,4,2,4,1,4,4,3,2,4,3,3,2,22,1,1,1,1
3,5,5,4,4,4,5,5,2,4,1,1,5,1,3,5,2,2,2,5,23,1,1,2,1
3,5,4,5,4,4,4,5,3,4,2,4,3,4,4,1,3,5,5,4,24,1,1,2,1
2,3,5,3,4,4,2,5,1,3,2,3,4,2,3,4,4,3,2,4,25,1,1,2,1
1,3,3,4,5,1,1,5,1,4,2,1,3,2,4,4,5,5,5,4,26,1,1,2,1
1,5,3,4,4,5,1,5,3,2,2,1,2,5,4,3,2,3,3,2,27,1,1,2,1
3,3,5,2,3,2,3,1,5,5,5,2,5,5,4,5,4,5,3,4,28,1,1,3,1
4,5,4,4,4,4,4,5,3,4,1,2,3,1,3,5,3,4,4,3,29,1,1,3,1
3,3,4,4,3,4,4,4,4,4,3,4,3,4,3,3,5,5,4,5,30,1,1,3,1
3,4,4,5,5,5,3,5,1,5,2,5,5,3,5,5,4,5,5,3,34,1,2,3,1
1,2,5,3,3,3,5,4,4,4,3,4,3,4,2,5,3,4,4,4,34,1,2,3,1
3,5,5,3,3,5,3,5,4,5,5,5,3,5,5,5,4,5,5,5,33,1,1,3,1
2,5,3,4,5,5,3,5,4,4,4,2,3,5,4,4,4,5,4,4,34,1,1,4,1
2,1,2,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,1,2,35,1,1,4,1
3,2,4,3,3,2,3,4,3,3,3,3,3,3,2,4,3,3,2,3,36,1,1,4,1
4,3,4,4,3,3,4,5,3,5,2,2,4,4,2,4,5,5,4,5,37,1,1,4,1
3,2,4,2,2,2,2,3,1,4,3,4,3,4,2,3,3,3,2,3,38,1,1,4,1
5,5,5,4,4,3,5,4,5,5,4,4,5,5,4,3,4,4,2,3,39,1,1,3,1
4,2,5,3,2,2,4,3,1,4,1,5,3,5,2,4,3,3,1,3,40,1,1,3,1
1,3,1,1,1,1,1,3,3,3,1,1,1,2,2,1,1,2,1,1,41,1,1,3,0
4,1,2,2,3,1,3,4,3,1,4,2,2,3,2,3,4,4,5,3,41,1,1,3,0
4,2,4,1,4,4,3,4,4,4,3,3,3,4,4,4,4,3,5,4,41,1,2,5,0
5,3,4,4,3,4,4,5,3,3,3,3,3,4,3,3,4,5,4,4,44,1,2,1,0
4,4,5,4,4,3,4,5,3,4,2,3,4,4,5,3,3,4,4,4,45,1,3,1,0
3,3,4,3,4,4,3,5,1,4,3,1,4,5,4,4,4,5,4,4,46,1,3,2,0
3,3,5,4,3,3,3,2,1,4,1,4,2,3,3,5,3,3,2,5,47,1,3,2,0
4,4,2,3,3,2,3,4,3,3,1,2,2,2,1,3,3,4,4,4,48,1,3,2,0
4,3,5,3,3,4,5,5,2,5,2,5,4,5,5,5,4,3,5,5,49,1,1,2,0
4,3,4,4,4,4,4,4,2,4,3,4,2,5,3,4,3,3,2,3,50,1,2,2,0
3,4,4,2,2,2,4,3,2,4,2,2,2,3,3,4,2,3,2,2,51,1,2,3,1
4,5,5,4,3,4,4,2,4,4,2,3,4,4,4,5,4,5,4,5,52,1,2,3,1
3,3,4,3,3,4,4,2,4,3,3,3,4,4,4,4,5,3,2,3,53,1,2,3,1
5,5,5,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,4,5,54,1,2,3,1
5,4,5,4,3,4,4,4,4,5,3,4,4,5,3,4,4,4,5,4,55,1,2,3,1
3,3,4,2,2,2,4,4,5,4,2,4,3,4,2,4,4,5,4,4,56,1,2,3,1
4,4,5,5,4,4,5,3,4,5,3,4,4,5,5,5,4,4,5,5,57,1,2,4,1
2,4,4,2,3,2,3,2,2,4,4,4,4,4,3,4,3,4,2,4,58,1,2,4,1
4,4,4,4,4,4,4,4,4,4,2,2,4,4,3,4,4,4,4,4,59,1,2,4,1
2,5,5,4,4,5,4,5,4,5,3,3,4,5,4,5,5,4,3,5,60,1,3,4,1
3,4,4,4,4,4,5,3,4,4,2,4,4,5,3,4,3,4,4,4,61,1,1,4,1
3,3,4,3,4,3,5,4,3,5,1,3,3,4,3,4,3,4,2,4,62,1,1,3,1
3,4,3,3,4,3,3,4,4,4,3,3,3,4,4,4,4,3,3,3,63,1,1,3,1
2,4,5,4,1,3,5,5,1,5,1,5,2,5,3,5,5,5,4,4,64,1,1,3,1
5,5,5,5,2,5,5,5,3,5,4,3,5,5,5,5,3,5,4,5,65,1,1,3,1
4,3,4,4,2,3,4,4,3,4,3,4,3,4,3,4,3,4,4,4,25,1,1,5,1
4,4,5,4,4,4,4,3,4,3,2,4,4,5,4,4,3,3,3,4,25,1,1,1,1
5,4,5,4,2,3,4,3,2,4,2,5,4,4,5,5,4,4,3,4,25,1,1,1,1
4,3,5,4,2,1,5,4,1,4,1,4,4,1,3,3,3,4,3,5,25,1,1,2,1
4,5,4,3,4,4,2,5,4,5,5,5,4,4,5,4,4,4,5,4,25,1,1,2,1
2,4,2,4,3,4,2,1,4,2,2,2,1,2,4,4,4,2,3,2,26,1,1,2,0
2,5,2,4,5,4,3,3,5,5,2,4,2,3,5,5,3,2,3,3,27,1,1,2,0
2,4,4,5,4,4,5,2,2,4,4,1,3,4,4,4,4,3,2,3,28,1,1,2,0
2,2,2,3,2,2,2,2,2,2,2,1,1,2,3,3,1,2,1,2,28,1,1,3,0
4,5,4,4,4,4,5,3,3,4,3,5,3,3,4,3,2,3,2,4,28,1,1,3,0
5,2,2,4,2,3,5,2,1,5,1,5,5,2,3,4,4,5,4,5,28,1,2,3,1
5,5,5,5,4,5,4,2,4,4,5,5,4,4,5,4,2,3,3,5,32,3,2,3,1
1,5,5,3,3,5,5,3,5,4,5,5,4,5,4,5,5,4,3,3,33,4,2,3,1
3,4,2,4,2,3,3,3,3,5,5,4,4,4,3,2,3,2,3,3,34,5,2,3,1
3,4,5,4,4,4,4,3,4,4,2,4,4,5,5,5,3,4,3,5,35,1,2,4,1
2,3,4,1,4,4,4,5,4,2,1,2,2,5,2,3,3,5,4,5,36,2,2,4,1
2,5,5,4,2,2,4,4,4,4,2,3,4,5,5,5,5,3,3,4,37,3,2,4,1
2,2,2,2,1,2,2,2,2,2,4,1,1,2,1,2,1,2,1,3,38,4,2,4,1
2,3,4,3,4,3,5,1,4,5,3,2,4,5,3,4,1,2,1,2,38,5,2,4,1
1,5,1,5,5,1,1,5,3,1,4,1,1,4,5,1,1,5,2,2,38,1,2,3,1
3,3,4,5,3,2,4,5,4,4,4,2,4,5,3,5,3,5,4,5,38,2,2,3,1
3,4,3,3,1,1,2,3,1,5,2,4,2,1,2,2,3,5,4,2,38,3,2,3,1
3,3,2,3,4,3,3,3,5,2,4,2,2,3,3,2,3,3,2,2,38,4,3,3,1
4,4,4,4,4,2,4,5,1,3,2,1,2,1,4,5,2,2,1,3,44,5,3,5,1
4,4,4,4,4,2,4,5,1,3,2,1,2,1,4,5,2,2,1,3,45,1,3,1,1
2,3,5,3,3,2,3,4,4,2,4,1,4,4,3,2,4,3,3,2,46,1,3,1,1
3,5,5,4,4,4,5,5,2,4,1,1,5,1,3,5,2,2,2,5,47,1,3,2,1
3,5,4,5,4,4,4,5,3,4,2,4,3,4,4,1,3,5,5,4,48,1,3,2,1
2,3,5,3,4,4,2,5,1,3,2,3,4,2,3,4,4,3,2,4,49,1,3,2,1
1,3,3,4,5,1,1,5,1,4,2,1,3,2,4,4,5,5,5,4,50,1,4,2,1
1,5,3,4,4,5,1,5,3,2,2,1,2,5,4,3,2,3,3,2,51,1,4,2,0
3,3,5,2,3,2,3,1,5,5,5,2,5,5,4,5,4,5,3,4,52,1,5,3,0
4,5,4,4,4,4,4,5,3,4,1,2,3,1,3,5,3,4,4,3,53,1,5,3,0
3,3,4,4,3,4,4,4,4,4,3,4,3,4,3,3,5,5,4,5,54,1,2,3,0
3,4,4,5,5,5,3,5,1,5,2,5,5,3,5,5,4,5,5,3,55,1,2,3,0
1,2,5,3,3,3,5,4,4,4,3,4,3,4,2,5,3,4,4,4,56,1,2,3,0
3,5,5,3,3,5,3,5,4,5,5,5,3,5,5,5,4,5,5,5,57,1,2,3,0
2,5,3,4,5,5,3,5,4,4,4,2,3,5,4,4,4,5,4,4,58,1,2,4,0
2,1,2,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,1,2,59,1,2,4,0
3,2,4,3,3,2,3,4,3,3,3,3,3,3,2,4,3,3,2,3,60,1,2,4,0
