# Basic Database Benchmark (Node-Only) Results - Combined
"# All Tests: 1000 entities, 10000 entities, 100000 entities"
# Total models per test: 49

=== DETAILED RESULTS - 1000 Entities ===
# Successful: 49 / 49

Rank,Configuration,Node Mode,Group,Total Time (ms),Peak Memory (MB),Operations/sec,Insert Time (ms),Insert Memory (MB),Read Time (ms),Read Memory (MB),Update Time (ms),Update Memory (MB)
1,COW_TREE,COW_TREE,Group B (Others),0.44,212.8,114652678,0.42,212.8,0.01,212.8,0.01,212.8
2,HAMT,HAMT,Group B (Others),0.44,213.8,112359577,0.43,213.8,0.01,213.8,0.01,213.8
3,BW_TREE,BW_TREE,Group B (Others),0.45,213.8,110717633,0.44,213.8,0.01,213.8,0.01,213.8
4,BLOOM_FILTER,BLOOM_FILTER,Group B (Others),0.45,212.2,110619424,0.44,212.2,0.01,212.2,0.01,212.2
5,EXTENDIBLE_HASH,EXTENDIBLE_HASH,Group B (Others),0.45,214.0,110375286,0.43,214.0,0.01,214.0,0.01,214.0
6,CUCKOO_HASH,CUCKOO_HASH,Group B (Others),0.45,212.2,110083672,0.44,212.2,0.01,212.2,0.01,212.2
7,T_TREE,T_TREE,Group B (Others),0.46,214.1,109673039,0.44,214.1,0.01,214.1,0.01,214.1
8,B_TREE,B_TREE,Group B (Others),0.46,212.5,109433167,0.44,212.5,0.01,212.5,0.01,212.5
9,SKIP_LIST,SKIP_LIST,Group B (Others),0.46,213.3,109289481,0.44,213.3,0.01,213.3,0.01,213.3
10,SET_HASH,SET_HASH,Group B (Others),0.46,212.0,108672163,0.44,212.0,0.01,212.0,0.01,212.0
11,SET_TREE,SET_TREE,Group B (Others),0.46,212.1,108318831,0.45,212.1,0.01,212.1,0.01,212.1
12,TREAP,TREAP,Group B (Others),0.47,213.5,107365056,0.45,213.5,0.01,213.5,0.01,213.5
13,PRIORITY_QUEUE,PRIORITY_QUEUE,Group B (Others),0.47,211.6,106883268,0.45,211.6,0.01,211.6,0.01,211.6
14,HEAP,HEAP,Group B (Others),0.47,212.0,106814581,0.45,212.0,0.01,212.0,0.01,212.0
15,LEARNED_INDEX,LEARNED_INDEX,Group B (Others),0.47,214.2,106202136,0.45,214.2,0.01,214.2,0.01,214.2
16,ART,ART,Group B (Others),0.47,213.7,106089649,0.45,213.6,0.01,213.7,0.01,213.7
17,QUEUE,QUEUE,Group B (Others),0.47,211.5,105820108,0.46,211.5,0.01,211.5,0.01,211.5
18,BITSET_DYNAMIC,BITSET_DYNAMIC,Group B (Others),0.47,212.3,105708221,0.46,212.3,0.01,212.3,0.01,212.3
19,HYPERLOGLOG,HYPERLOGLOG,Group B (Others),0.47,213.2,105663490,0.46,213.2,0.01,213.2,0.01,213.2
20,ROARING_BITMAP,ROARING_BITMAP,Group B (Others),0.47,212.4,105552038,0.46,212.4,0.01,212.4,0.01,212.4
21,HASH_MAP,HASH_MAP,Group B (Others),0.47,211.2,105507439,0.46,211.2,0.01,211.2,0.01,211.2
