# Basic Database Benchmark (Node-Only) Results - Combined
"# All Tests: 1000 entities, 10000 entities, 100000 entities"
# Total models per test: 49

=== DETAILED RESULTS - 1000 Entities ===
# Successful: 49 / 49

Rank,Configuration,Node Mode,Group,Total Time (ms),Peak Memory (MB),Operations/sec,Insert Time (ms),Insert Memory (MB),Read Time (ms),Read Memory (MB),Update Time (ms),Update Memory (MB)
1,T_TREE,T_TREE,Group B (Others),0.42,214.2,118035892,0.41,214.2,0.01,214.2,0.01,214.2
2,LSM_TREE,LSM_TREE,Group B (Others),0.43,212.8,115660444,0.42,212.8,0.01,212.8,0.01,212.8
3,PERSISTENT_TREE,PERSISTENT_TREE,Group B (Others),0.44,212.8,112562055,0.43,212.8,0.01,212.8,0.01,212.8
4,LINEAR_HASH,LINEAR_HASH,Group B (Others),0.45,214.2,112132760,0.43,214.2,0.01,214.2,0.01,214.2
5,B_PLUS_TREE,B_PLUS_TREE,Group B (Others),0.45,212.7,111358477,0.43,212.7,0.01,212.7,0.01,212.7
6,COW_TREE,COW_TREE,Group B (Others),0.45,212.9,110180705,0.44,212.9,0.01,212.9,0.01,212.9
7,COUNT_MIN_SKETCH,COUNT_MIN_SKETCH,Group B (Others),0.46,213.3,109673039,0.44,213.3,0.01,213.3,0.01,213.3
8,EXTENDIBLE_HASH,EXTENDIBLE_HASH,Group B (Others),0.46,214.1,109289703,0.44,214.1,0.01,214.1,0.01,214.1
9,AHO_CORASICK,AHO_CORASICK,Group B (Others),0.46,213.2,109098927,0.44,213.2,0.01,213.2,0.01,213.2
10,CUCKOO_HASH,CUCKOO_HASH,Group B (Others),0.46,212.4,108131536,0.44,212.4,0.01,212.4,0.01,212.4
11,SUFFIX_ARRAY,SUFFIX_ARRAY,Group B (Others),0.46,213.2,107921344,0.45,213.2,0.01,213.2,0.01,213.2
12,QUEUE,QUEUE,Group B (Others),0.47,211.7,107411347,0.45,211.7,0.01,211.7,0.01,211.7
13,PRIORITY_QUEUE,PRIORITY_QUEUE,Group B (Others),0.47,211.7,106609790,0.45,211.7,0.01,211.7,0.01,211.7
14,HYPERLOGLOG,HYPERLOGLOG,Group B (Others),0.47,213.3,105752989,0.45,213.3,0.01,213.3,0.01,213.3
15,DEQUE,DEQUE,Group B (Others),0.48,211.8,104756015,0.46,211.8,0.01,211.8,0.01,211.8
16,RADIX_TRIE,RADIX_TRIE,Group B (Others),0.48,211.9,104733944,0.46,211.9,0.01,211.9,0.01,211.9
17,B_TREE,B_TREE,Group B (Others),0.48,212.6,104624443,0.46,212.6,0.01,212.6,0.01,212.6
18,MASSTREE,MASSTREE,Group B (Others),0.48,214.0,104514966,0.46,214.0,0.01,214.0,0.01,214.0
19,TREE_GRAPH_HYBRID,TREE_GRAPH_HYBRID,Group B (Others),0.48,211.2,103885299,0.46,211.2,0.01,211.2,0.01,211.2
20,UNION_FIND,UNION_FIND,Group B (Others),0.48,213.0,103669851,0.46,213.0,0.01,213.0,0.01,213.0
21,TRIE,TRIE,Group B (Others),0.48,211.9,103541191,0.47,211.9,0.01,211.9,0.01,211.9
22,HEAP,HEAP,Group B (Others),0.49,212.1,102986544,0.47,212.1,0.01,212.1,0.01,212.1
23,ORDERED_MAP_BALANCED,ORDERED_MAP_BALANCED,Group B (Others),0.49,211.4,102648355,0.47,211.4,0.01,211.4,0.01,211.4
24,HAMT,HAMT,Group B (Others),0.49,214.0,102564130,0.47,214.0,0.01,214.0,0.01,214.0
25,DATA_INTERCHANGE_OPTIMIZED,DATA_INTERCHANGE_OPTIMIZED,Group B (Others),0.49,214.4,102417093,0.47,214.4,0.01,214.4,0.01,214.4
26,LINKED_LIST,LINKED_LIST,Group B (Others),0.49,211.5,101729517,0.47,211.5,0.01,211.5,0.01,211.5
27,SET_HASH,SET_HASH,Group B (Others),0.50,212.2,100462089,0.48,212.2,0.01,212.2,0.01,212.2
28,SPARSE_MATRIX,SPARSE_MATRIX,Group A (Matrix),0.50,211.2,99561954,0.49,211.2,0.01,211.2,0.01,211.2
29,BW_TREE,BW_TREE,Group B (Others),0.51,213.9,98309100,0.49,213.9,0.01,213.9,0.01,213.9
30,BITMAP,BITMAP,Group A (Matrix),0.51,211.1,97503777,0.49,211.1,0.01,211.1,0.01,211.1
31,SEGMENT_TREE,SEGMENT_TREE,Group B (Others),0.52,213.0,96599737,0.50,213.0,0.01,213.0,0.01,213.0
32,FENWICK_TREE,FENWICK_TREE,Group B (Others),0.52,213.1,95822151,0.50,213.1,0.01,213.1,0.01,213.1
33,STACK,STACK,Group B (Others),0.52,211.6,95748752,0.51,211.6,0.01,211.6,0.01,211.6
34,RED_BLACK_TREE,RED_BLACK_TREE,Group B (Others),0.53,213.5,95201863,0.51,213.5,0.01,213.5,0.01,213.5
35,HASH_MAP,HASH_MAP,Group B (Others),0.53,211.3,93773303,0.52,211.3,0.01,211.3,0.01,211.3
36,ART,ART,Group B (Others),0.53,213.8,93650457,0.52,213.8,0.01,213.8,0.01,213.8
37,AVL_TREE,AVL_TREE,Group B (Others),0.57,213.5,88105725,0.52,213.5,0.03,213.5,0.01,213.5
38,BLOOM_FILTER,BLOOM_FILTER,Group B (Others),0.57,212.3,87062430,0.56,212.3,0.01,212.3,0.01,212.3
39,TREAP,TREAP,Group B (Others),0.59,213.6,85470081,0.57,213.6,0.01,213.6,0.01,213.6
40,SET_TREE,SET_TREE,Group B (Others),0.59,212.2,85033972,0.57,212.2,0.01,212.2,0.01,212.2
41,LEARNED_INDEX,LEARNED_INDEX,Group B (Others),0.59,214.3,84302786,0.58,214.3,0.01,214.3,0.01,214.3
42,SPLAY_TREE,SPLAY_TREE,Group B (Others),0.59,213.7,84189293,0.57,213.7,0.01,213.7,0.01,213.7
43,ADJACENCY_LIST,ADJACENCY_LIST,Group B (Others),0.60,212.6,83948976,0.58,212.6,0.01,212.6,0.01,212.6
44,ROARING_BITMAP,ROARING_BITMAP,Group B (Others),0.65,212.5,76616601,0.63,212.5,0.01,212.5,0.01,212.5
45,BITSET_DYNAMIC,BITSET_DYNAMIC,Group B (Others),0.67,212.4,74794254,0.65,212.4,0.01,212.4,0.01,212.4
46,ARRAY_LIST,ARRAY_LIST,Group A (Matrix),0.67,211.0,74161994,0.64,211.0,0.02,211.0,0.01,211.0
47,SKIP_LIST,SKIP_LIST,Group B (Others),0.89,213.4,55909668,0.86,213.4,0.02,213.4,0.02,213.4
48,PATRICIA,PATRICIA,Group B (Others),1.06,212.0,47267898,1.04,212.0,0.01,212.0,0.01,212.0
49,ORDERED_MAP,ORDERED_MAP,Group B (Others),1.09,211.4,45850526,1.07,211.4,0.01,211.4,0.01,211.4

=== SUMMARY - 1000 Entities ===

Metric,Value
Total Models Tested,49
Successful,49
Failed,0
Fastest Time (ms),0.42
Slowest Time (ms),1.09
Average Time (ms),0.54
Lowest Memory (MB),211.0
Highest Memory (MB),214.4
Average Memory (MB),212.7
Winner (Fastest),T_TREE

=== DETAILED RESULTS - 10000 Entities ===
# Successful: 49 / 49

Rank,Configuration,Node Mode,Group,Total Time (ms),Peak Memory (MB),Operations/sec,Insert Time (ms),Insert Memory (MB),Read Time (ms),Read Memory (MB),Update Time (ms),Update Memory (MB)
1,BW_TREE,BW_TREE,Group B (Others),4.20,238.7,11908163,4.14,238.7,0.03,238.7,0.03,238.7
2,PERSISTENT_TREE,PERSISTENT_TREE,Group B (Others),4.22,229.4,11859021,4.16,229.4,0.03,229.4,0.03,229.4
3,HAMT,HAMT,Group B (Others),4.22,239.3,11847780,4.16,239.3,0.03,239.3,0.03,239.3
4,RED_BLACK_TREE,RED_BLACK_TREE,Group B (Others),4.22,235.5,11844974,4.17,235.5,0.03,235.5,0.03,235.5
5,AHO_CORASICK,AHO_CORASICK,Group B (Others),4.22,232.9,11841046,4.17,232.9,0.03,232.9,0.03,232.9
6,SKIP_LIST,SKIP_LIST,Group B (Others),4.23,234.9,11830118,4.17,234.9,0.03,234.9,0.03,234.9
7,LEARNED_INDEX,LEARNED_INDEX,Group B (Others),4.23,242.5,11819214,4.18,242.5,0.03,242.5,0.03,242.5
8,LSM_TREE,LSM_TREE,Group B (Others),4.23,228.7,11810560,4.18,228.7,0.03,228.7,0.03,228.7
9,LINEAR_HASH,LINEAR_HASH,Group B (Others),4.24,241.3,11793566,4.18,241.3,0.03,241.3,0.03,241.3
