# Basic Database Benchmark (Node-Only) Results - Combined
"# All Tests: 1000 entities, 10000 entities, 100000 entities"
# Total models per test: 49

=== DETAILED RESULTS - 1000 Entities ===
# Successful: 49 / 49

Rank,Configuration,Node Mode,Group,Total Time (ms),Peak Memory (MB),Operations/sec,Insert Time (ms),Insert Memory (MB),Read Time (ms),Read Memory (MB),Update Time (ms),Update Memory (MB)
1,PERSISTENT_TREE,PERSISTENT_TREE,Group B (Others),0.45,212.3,110594928,0.44,212.3,0.01,212.3,0.01,212.3
2,SUFFIX_ARRAY,SUFFIX_ARRAY,Group B (Others),0.45,212.7,109962592,0.44,212.7,0.01,212.7,0.01,212.7
3,B_PLUS_TREE,B_PLUS_TREE,Group B (Others),0.46,212.2,109528945,0.44,212.2,0.01,212.2,0.01,212.2
4,COW_TREE,COW_TREE,Group B (Others),0.46,212.4,109385230,0.44,212.4,0.01,212.4,0.01,212.4
5,SKIP_LIST,SKIP_LIST,Group B (Others),0.46,212.9,109075100,0.44,212.9,0.01,212.9,0.01,212.9
6,TREE_GRAPH_HYBRID,TREE_GRAPH_HYBRID,Group B (Others),0.46,210.7,108719257,0.44,210.7,0.01,210.7,0.01,210.7
7,SEGMENT_TREE,SEGMENT_TREE,Group B (Others),0.46,212.5,108436426,0.45,212.5,0.01,212.5,0.01,212.5
8,FENWICK_TREE,FENWICK_TREE,Group B (Others),0.46,212.6,108295452,0.45,212.6,0.01,212.6,0.01,212.6
9,LSM_TREE,LSM_TREE,Group B (Others),0.46,212.3,108201818,0.45,212.3,0.01,212.3,0.01,212.3
10,AHO_CORASICK,AHO_CORASICK,Group B (Others),0.46,212.7,108201818,0.45,212.7,0.01,212.7,0.01,212.7
11,COUNT_MIN_SKETCH,COUNT_MIN_SKETCH,Group B (Others),0.46,212.8,108061453,0.45,212.8,0.01,212.8,0.01,212.8
12,UNION_FIND,UNION_FIND,Group B (Others),0.46,212.5,108061344,0.45,212.5,0.01,212.5,0.01,212.5
13,HYPERLOGLOG,HYPERLOGLOG,Group B (Others),0.46,212.8,107944778,0.45,212.8,0.01,212.8,0.01,212.8
14,HASH_MAP,HASH_MAP,Group B (Others),0.46,210.8,107898136,0.45,210.8,0.01,210.8,0.01,210.8
15,B_TREE,B_TREE,Group B (Others),0.47,212.1,107411347,0.45,212.1,0.01,212.1,0.01,212.1
16,TRIE,TRIE,Group B (Others),0.47,211.4,106929037,0.45,211.4,0.01,211.4,0.01,211.4
17,RADIX_TRIE,RADIX_TRIE,Group B (Others),0.47,211.4,106428248,0.45,211.4,0.01,211.4,0.01,211.4
18,BITMAP,BITMAP,Group A (Matrix),0.47,210.6,106337919,0.45,210.6,0.01,210.6,0.01,210.6
19,QUEUE,QUEUE,Group B (Others),0.47,211.2,106337709,0.45,211.2,0.01,211.2,0.01,211.2
20,SPLAY_TREE,SPLAY_TREE,Group B (Others),0.47,213.2,106202136,0.45,213.2,0.01,213.2,0.01,213.2
21,SPARSE_MATRIX,SPARSE_MATRIX,Group A (Matrix),0.47,210.7,105752885,0.46,210.7,0.01,210.7,0.01,210.7
22,HEAP,HEAP,Group B (Others),0.47,211.6,105685955,0.46,211.6,0.01,211.6,0.01,211.6
23,BLOOM_FILTER,BLOOM_FILTER,Group B (Others),0.47,211.8,105418563,0.46,211.8,0.01,211.8,0.01,211.8
24,TREAP,TREAP,Group B (Others),0.47,213.2,105396212,0.46,213.2,0.01,213.2,0.01,213.2
25,DEQUE,DEQUE,Group B (Others),0.48,211.3,105041936,0.46,211.3,0.01,211.3,0.01,211.3
26,ADJACENCY_LIST,ADJACENCY_LIST,Group B (Others),0.48,212.1,104843880,0.46,212.1,0.01,212.1,0.01,212.1
27,STACK,STACK,Group B (Others),0.48,211.1,104558831,0.46,211.1,0.01,211.1,0.01,211.1
28,LINKED_LIST,LINKED_LIST,Group B (Others),0.48,211.0,104536843,0.46,211.0,0.01,211.0,0.01,211.0
29,PRIORITY_QUEUE,PRIORITY_QUEUE,Group B (Others),0.48,211.2,104514865,0.46,211.2,0.01,211.2,0.01,211.2
30,ORDERED_MAP_BALANCED,ORDERED_MAP_BALANCED,Group B (Others),0.48,211.0,104144960,0.46,210.9,0.01,211.0,0.01,211.0
31,EXTENDIBLE_HASH,EXTENDIBLE_HASH,Group B (Others),0.48,213.5,103476931,0.47,213.5,0.01,213.5,0.01,213.5
32,SET_HASH,SET_HASH,Group B (Others),0.48,211.7,103305694,0.47,211.6,0.01,211.7,0.01,211.7
33,AVL_TREE,AVL_TREE,Group B (Others),0.48,213.1,103135321,0.46,213.1,0.01,213.1,0.01,213.1
34,SET_TREE,SET_TREE,Group B (Others),0.49,211.7,102585100,0.47,211.7,0.01,211.7,0.01,211.7
35,ROARING_BITMAP,ROARING_BITMAP,Group B (Others),0.49,212.0,102500881,0.47,212.0,0.01,212.0,0.01,212.0
36,BITSET_DYNAMIC,BITSET_DYNAMIC,Group B (Others),0.49,211.9,102291424,0.47,211.9,0.01,211.9,0.01,211.9
37,ART,ART,Group B (Others),0.49,213.3,101895274,0.47,213.3,0.01,213.3,0.01,213.3
38,PATRICIA,PATRICIA,Group B (Others),0.49,211.5,101296494,0.48,211.5,0.01,211.5,0.01,211.5
39,CUCKOO_HASH,CUCKOO_HASH,Group B (Others),0.49,211.9,101234989,0.48,211.9,0.01,211.9,0.01,211.9
40,BW_TREE,BW_TREE,Group B (Others),0.49,213.3,101132773,0.47,213.3,0.01,213.3,0.01,213.3
41,LINEAR_HASH,LINEAR_HASH,Group B (Others),0.51,213.6,97276317,0.50,213.6,0.01,213.6,0.01,213.6
42,RED_BLACK_TREE,RED_BLACK_TREE,Group B (Others),0.52,213.0,96899187,0.50,213.0,0.01,213.0,0.01,213.0
43,ARRAY_LIST,ARRAY_LIST,Group A (Matrix),0.54,210.5,92353051,0.52,210.5,0.01,210.5,0.01,210.5
44,T_TREE,T_TREE,Group B (Others),0.60,213.7,83808295,0.58,213.7,0.01,213.7,0.01,213.7
45,DATA_INTERCHANGE_OPTIMIZED,DATA_INTERCHANGE_OPTIMIZED,Group B (Others),0.62,213.8,80038421,0.61,213.8,0.01,213.8,0.01,213.8
46,HAMT,HAMT,Group B (Others),0.73,213.4,68324659,0.71,213.4,0.01,213.4,0.01,213.4
47,ORDERED_MAP,ORDERED_MAP,Group B (Others),0.76,210.9,66146270,0.74,210.9,0.01,210.9,0.01,210.9
48,MASSTREE,MASSTREE,Group B (Others),0.80,213.5,62359705,0.78,213.5,0.01,213.5,0.01,213.5
49,LEARNED_INDEX,LEARNED_INDEX,Group B (Others),0.91,213.7,55029706,0.89,213.7,0.01,213.7,0.01,213.7

=== SUMMARY - 1000 Entities ===

Metric,Value
Total Models Tested,49
Successful,49
Failed,0
Fastest Time (ms),0.45
Slowest Time (ms),0.91
Average Time (ms),0.51
Lowest Memory (MB),210.5
Highest Memory (MB),213.8
Average Memory (MB),212.2
Winner (Fastest),PERSISTENT_TREE

=== DETAILED RESULTS - 10000 Entities ===
# Successful: 49 / 49

Rank,Configuration,Node Mode,Group,Total Time (ms),Peak Memory (MB),Operations/sec,Insert Time (ms),Insert Memory (MB),Read Time (ms),Read Memory (MB),Update Time (ms),Update Memory (MB)
1,RED_BLACK_TREE,RED_BLACK_TREE,Group B (Others),4.44,235.0,11272433,4.38,235.0,0.03,235.0,0.03,235.0
2,AHO_CORASICK,AHO_CORASICK,Group B (Others),4.46,232.4,11204233,4.40,232.4,0.03,232.4,0.03,232.4
3,SEGMENT_TREE,SEGMENT_TREE,Group B (Others),4.47,230.6,11197457,4.40,230.6,0.03,230.6,0.03,230.6
4,COUNT_MIN_SKETCH,COUNT_MIN_SKETCH,Group B (Others),4.47,233.0,11192443,4.41,233.0,0.03,233.0,0.03,233.0
5,SKIP_LIST,SKIP_LIST,Group B (Others),4.49,234.4,11147030,4.42,234.4,0.03,234.4,0.03,234.4
6,BITMAP,BITMAP,Group A (Matrix),4.51,214.3,11091885,4.45,214.3,0.03,214.3,0.03,214.3
7,LINKED_LIST,LINKED_LIST,Group B (Others),4.52,216.6,11056075,4.46,216.6,0.03,216.6,0.03,216.6
8,LINEAR_HASH,LINEAR_HASH,Group B (Others),4.54,240.8,11013460,4.48,240.8,0.03,240.8,0.03,240.8
9,SPLAY_TREE,SPLAY_TREE,Group B (Others),4.55,236.9,10979601,4.49,236.9,0.03,236.9,0.03,236.9
10,COW_TREE,COW_TREE,Group B (Others),4.56,229.4,10973093,4.49,229.4,0.03,229.4,0.03,229.4
11,SPARSE_MATRIX,SPARSE_MATRIX,Group A (Matrix),4.56,214.4,10963710,4.49,214.4,0.03,214.4,0.03,214.4
12,SUFFIX_ARRAY,SUFFIX_ARRAY,Group B (Others),4.62,231.8,10821808,4.56,231.8,0.03,231.8,0.03,231.8
13,DATA_INTERCHANGE_OPTIMIZED,DATA_INTERCHANGE_OPTIMIZED,Group B (Others),4.62,242.5,10821573,4.56,242.5,0.03,242.5,0.03,242.5
14,AVL_TREE,AVL_TREE,Group B (Others),4.64,235.6,10778882,4.57,235.6,0.04,235.6,0.03,235.6
15,LEARNED_INDEX,LEARNED_INDEX,Group B (Others),4.64,241.9,10778185,4.52,241.9,0.08,241.9,0.04,241.9
16,PATRICIA,PATRICIA,Group B (Others),4.64,221.0,10776791,4.57,221.0,0.03,221.0,0.03,221.0
17,T_TREE,T_TREE,Group B (Others),4.65,241.4,10753844,4.59,241.4,0.03,241.4,0.03,241.4
18,FENWICK_TREE,FENWICK_TREE,Group B (Others),4.65,231.2,10747141,4.59,231.2,0.03,231.2,0.03,231.2
19,STACK,STACK,Group B (Others),4.65,217.2,10742985,4.59,217.2,0.03,217.2,0.03,217.2
20,PERSISTENT_TREE,PERSISTENT_TREE,Group B (Others),4.68,228.8,10686958,4.61,228.8,0.04,228.8,0.04,228.8
21,TREAP,TREAP,Group B (Others),4.70,236.3,10629704,4.63,236.3,0.04,236.3,0.03,236.3
22,B_TREE,B_TREE,Group B (Others),4.70,226.6,10627896,4.64,226.6,0.03,226.6,0.03,226.6
23,RADIX_TRIE,RADIX_TRIE,Group B (Others),4.75,220.4,10518786,4.68,220.4,0.03,220.4,0.04,220.4
24,BITSET_DYNAMIC,BITSET_DYNAMIC,Group B (Others),4.77,224.8,10474495,4.71,224.8,0.03,224.8,0.03,224.8
25,ROARING_BITMAP,ROARING_BITMAP,Group B (Others),4.79,225.4,10444518,4.71,225.4,0.04,225.4,0.03,225.4
26,CUCKOO_HASH,CUCKOO_HASH,Group B (Others),4.79,224.2,10429270,4.73,224.2,0.03,224.2,0.03,224.2
