# Basic Database Benchmark (Node-Only) Results - Combined
"# All Tests: 1000 entities, 10000 entities, 100000 entities"
# Total models per test: 49

=== DETAILED RESULTS - 1000 Entities ===
# Successful: 49 / 49

Rank,Configuration,Node Mode,Group,Total Time (ms),Peak Memory (MB),Operations/sec,Insert Time (ms),Insert Memory (MB),Read Time (ms),Read Memory (MB),Update Time (ms),Update Memory (MB)
1,LEARNED_INDEX,LEARNED_INDEX,Group B (Others),0.48,213.8,104799776,0.46,213.8,0.01,213.8,0.01,213.8
2,LINEAR_HASH,LINEAR_HASH,Group B (Others),0.51,213.7,98872984,0.49,213.7,0.01,213.7,0.01,213.7
3,DEQUE,DEQUE,Group B (Others),0.51,211.4,98677625,0.49,211.4,0.01,211.4,0.01,211.4
4,B_PLUS_TREE,B_PLUS_TREE,Group B (Others),0.51,212.4,97847460,0.49,212.4,0.01,212.4,0.01,212.4
5,PRIORITY_QUEUE,PRIORITY_QUEUE,Group B (Others),0.51,211.4,97561008,0.49,211.4,0.01,211.4,0.01,211.4
6,STACK,STACK,Group B (Others),0.51,211.2,97181672,0.50,211.2,0.01,211.2,0.01,211.2
7,SET_HASH,SET_HASH,Group B (Others),0.52,211.8,96917991,0.50,211.8,0.01,211.8,0.01,211.8
8,CUCKOO_HASH,CUCKOO_HASH,Group B (Others),0.52,212.0,96618339,0.50,212.0,0.01,212.0,0.01,212.0
9,LSM_TREE,LSM_TREE,Group B (Others),0.52,212.4,96543629,0.50,212.4,0.01,212.4,0.01,212.4
10,BITMAP,BITMAP,Group A (Matrix),0.52,210.7,96506490,0.50,210.7,0.01,210.7,0.01,210.7
11,ADJACENCY_LIST,ADJACENCY_LIST,Group B (Others),0.52,212.2,96450749,0.50,212.2,0.01,212.2,0.01,212.2
12,BITSET_DYNAMIC,BITSET_DYNAMIC,Group B (Others),0.52,212.1,96153717,0.50,212.1,0.01,212.1,0.01,212.1
13,SKIP_LIST,SKIP_LIST,Group B (Others),0.52,213.1,96043026,0.50,213.1,0.01,213.1,0.01,213.1
14,TRIE,TRIE,Group B (Others),0.52,211.5,95877168,0.50,211.5,0.01,211.5,0.01,211.5
15,AVL_TREE,AVL_TREE,Group B (Others),0.52,213.2,95840540,0.50,213.2,0.01,213.2,0.01,213.2
16,UNION_FIND,UNION_FIND,Group B (Others),0.52,212.6,95693712,0.50,212.6,0.01,212.6,0.01,212.6
17,SEGMENT_TREE,SEGMENT_TREE,Group B (Others),0.52,212.7,95474524,0.50,212.7,0.01,212.7,0.01,212.7
18,HASH_MAP,HASH_MAP,Group B (Others),0.52,210.9,95347099,0.51,210.9,0.01,210.9,0.01,210.9
19,HEAP,HEAP,Group B (Others),0.52,211.7,95256338,0.51,211.7,0.01,211.7,0.01,211.7
20,FENWICK_TREE,FENWICK_TREE,Group B (Others),0.53,212.7,95238088,0.51,212.7,0.01,212.7,0.01,212.7
21,PERSISTENT_TREE,PERSISTENT_TREE,Group B (Others),0.53,212.5,95201863,0.51,212.5,0.01,212.5,0.01,212.5
22,TREE_GRAPH_HYBRID,TREE_GRAPH_HYBRID,Group B (Others),0.53,210.9,95111125,0.51,210.9,0.01,210.9,0.01,210.9
23,AHO_CORASICK,AHO_CORASICK,Group B (Others),0.53,212.9,95020812,0.51,212.9,0.01,212.9,0.01,212.9
24,QUEUE,QUEUE,Group B (Others),0.53,211.3,94876650,0.51,211.3,0.01,211.3,0.01,211.3
25,ORDERED_MAP,ORDERED_MAP,Group B (Others),0.53,211.0,94625230,0.51,211.0,0.01,211.0,0.01,211.0
26,LINKED_LIST,LINKED_LIST,Group B (Others),0.53,211.2,94464395,0.51,211.2,0.01,211.2,0.01,211.2
27,PATRICIA,PATRICIA,Group B (Others),0.53,211.7,94304022,0.51,211.7,0.01,211.7,0.01,211.7
28,ROARING_BITMAP,ROARING_BITMAP,Group B (Others),0.53,212.1,94286301,0.51,212.1,0.01,212.1,0.01,212.1
29,B_TREE,B_TREE,Group B (Others),0.53,212.3,94250713,0.51,212.3,0.01,212.3,0.01,212.3
30,TREAP,TREAP,Group B (Others),0.53,213.2,94250713,0.51,213.2,0.01,213.2,0.01,213.2
31,SPARSE_MATRIX,SPARSE_MATRIX,Group A (Matrix),0.53,210.8,94162026,0.51,210.8,0.01,210.8,0.01,210.8
32,RED_BLACK_TREE,RED_BLACK_TREE,Group B (Others),0.53,213.1,93932038,0.51,213.1,0.01,213.1,0.01,213.1
33,SET_TREE,SET_TREE,Group B (Others),0.53,211.9,93826319,0.51,211.9,0.01,211.9,0.01,211.9
34,SUFFIX_ARRAY,SUFFIX_ARRAY,Group B (Others),0.53,212.8,93808613,0.51,212.8,0.01,212.8,0.01,212.8
35,BLOOM_FILTER,BLOOM_FILTER,Group B (Others),0.53,211.9,93755780,0.52,211.9,0.01,211.9,0.01,211.9
36,COW_TREE,COW_TREE,Group B (Others),0.54,212.6,93109928,0.52,212.5,0.01,212.6,0.01,212.6
37,HYPERLOGLOG,HYPERLOGLOG,Group B (Others),0.54,213.0,92216786,0.52,213.0,0.01,213.0,0.01,213.0
38,EXTENDIBLE_HASH,EXTENDIBLE_HASH,Group B (Others),0.55,213.6,90678311,0.53,213.6,0.01,213.6,0.01,213.6
39,T_TREE,T_TREE,Group B (Others),0.56,213.7,89734378,0.54,213.7,0.01,213.7,0.01,213.7
40,COUNT_MIN_SKETCH,COUNT_MIN_SKETCH,Group B (Others),0.57,212.9,87719347,0.55,212.9,0.01,212.9,0.01,212.9
41,BW_TREE,BW_TREE,Group B (Others),0.58,213.4,86073214,0.56,213.4,0.01,213.4,0.01,213.4
42,ART,ART,Group B (Others),0.59,213.4,84961709,0.57,213.4,0.01,213.4,0.01,213.4
43,RADIX_TRIE,RADIX_TRIE,Group B (Others),0.62,211.6,80645153,0.60,211.6,0.01,211.6,0.01,211.6
44,SPLAY_TREE,SPLAY_TREE,Group B (Others),0.63,213.3,78764943,0.61,213.3,0.01,213.3,0.01,213.3
45,ARRAY_LIST,ARRAY_LIST,Group A (Matrix),0.65,210.7,77315584,0.62,210.7,0.02,210.7,0.01,210.7
46,MASSTREE,MASSTREE,Group B (Others),0.67,213.6,74316239,0.65,213.6,0.01,213.6,0.01,213.6
