TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,CDS,PH,FE-JONS,EK-PCPE,POSI,UCE,F.N.,UNA,UV,E.U.,PREPAL,AA,LV-GV,DN,ATTKA/PACMA,MSR,UCL,PUM+J,PFYV,FA,CDL,AES,UPYD,I.FEM,PNV...(E09),SAIn,PSA,ARALAR-EA...(E09),IZAN-RG,RC,EB-B...(E09),LIBERTAS-C´S,I.I.
Bizkaia,ABADIÑO,,1,3,5873,2407,7,2400,36,2364,3466,615,321,0,0,0,1,0,0,0,0,1,0,3,0,10,0,3,0,0,1,4,0,0,1,3,1,624,1,0,117,1,0,31,0,626
Gipuzkoa,ABALTZISKETA,,1,3,244,87,,87,,87,157,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,35,0,0,9,0,1,1,0,37
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7935,3116,22,3094,29,3065,4819,1139,210,0,1,0,3,5,1,1,0,0,0,2,0,11,4,4,0,0,6,2,0,0,0,36,2,1080,2,1,89,4,1,90,2,369
Gipuzkoa,ADUNA,,2,3,313,123,2,121,,121,190,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,15,0,0,1,0,74
Álava,AGURAIN/SALVATIERRA,,51,2,3667,1179,12,1167,10,1157,2488,259,169,0,0,1,0,0,0,1,0,0,0,0,2,6,1,1,0,1,0,3,0,0,0,9,1,309,0,0,55,1,0,10,1,327
Gipuzkoa,AIA,,16,4,1502,460,,460,2,458,1042,14,8,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,252,0,0,61,0,0,4,0,113
Gipuzkoa,AIZARNAZABAL,,3,4,511,159,,159,3,156,352,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,50,0,0,19,0,0,2,0,73
Bizkaia,AJANGIZ,,911,4,374,206,,206,2,204,168,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,11,1,0,3,0,123
Gipuzkoa,ALBIZTUR,,4,3,256,75,,75,3,72,181,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,36,0,0,10,0,0,0,0,17
Gipuzkoa,ALEGIA,,5,3,1359,507,2,505,,505,852,43,24,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,155,0,0,67,1,0,5,0,204
Álava,ALEGRÍA-DULANTZI,,1,2,1906,716,2,714,3,711,1190,219,103,0,0,0,0,1,0,0,0,0,2,0,0,5,0,1,0,0,5,1,0,0,0,17,1,179,1,0,85,0,0,13,0,78
Gipuzkoa,ALKIZA,,6,3,279,91,2,89,1,88,188,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,35,0,0,18,0,0,1,0,30
Bizkaia,ALONSOTEGI,,912,2,2370,1326,3,1323,11,1312,1044,288,95,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,1,3,0,0,0,15,1,609,0,0,79,2,1,16,0,197
Gipuzkoa,ALTZAGA,,906,3,117,62,1,61,,61,55,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,9,0,0,0,0,31
Gipuzkoa,ALTZO,,7,3,300,124,,124,,124,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,22,0,0,2,0,76
Gipuzkoa,AMEZKETA,,8,3,765,242,,242,,242,523,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,73,0,1,43,0,0,3,0,113
Bizkaia,AMOREBIETA-ETXANO,,3,3,14161,6405,25,6380,34,6346,7756,1432,457,0,2,0,10,8,3,0,0,0,1,2,1,34,0,11,1,0,6,3,0,0,2,35,4,2483,1,0,360,5,2,141,4,1338
Bizkaia,AMOROTO,,4,4,324,144,,144,1,143,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,10,0,0,0,0,46
Álava,AMURRIO,,2,3,8148,3557,16,3541,19,3522,4591,761,446,3,5,0,3,1,3,0,1,0,1,1,0,19,2,10,0,0,5,2,0,0,1,15,2,1351,1,1,258,7,1,43,2,577
Gipuzkoa,ANDOAIN,,9,3,11980,4701,17,4684,27,4657,7279,1573,513,0,1,1,2,5,3,1,0,0,0,1,0,30,0,6,2,0,17,3,1,0,1,28,1,965,4,2,292,5,0,103,1,1096
Gipuzkoa,ANOETA,,10,3,1415,569,1,568,4,564,846,80,36,0,0,0,1,0,0,0,0,0,0,0,0,7,0,2,0,0,2,1,0,0,0,1,1,124,0,0,45,2,0,0,0,262
Gipuzkoa,ANTZUOLA,,11,4,1731,841,,841,1,840,890,126,28,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,2,0,216,2,0,99,1,0,8,0,351
Bizkaia,ARAKALDO,,5,3,80,46,,46,2,44,34,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,2,0,0,0,0,12
Gipuzkoa,ARAMA,,12,3,153,73,,73,,73,80,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,26,0,0,9,0,0,0,0,28
Álava,ARAMAIO,,3,2,1221,522,,522,1,521,699,25,10,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,168,0,0,107,2,0,2,0,203
Bizkaia,ARANTZAZU,,6,3,257,167,1,166,2,164,90,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,89,1,0,11,0,0,0,0,52
Bizkaia,AREATZA,,93,3,849,486,5,481,5,476,363,43,43,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,1,0,0,0,0,0,229,0,0,45,0,0,2,0,106
Gipuzkoa,ARETXABALETA,,13,4,5335,2093,5,2088,15,2073,3242,403,114,1,0,0,1,1,0,1,0,0,0,2,1,14,0,4,0,0,2,2,0,0,0,4,1,516,2,0,290,12,1,32,0,669
Álava,ARMIÑÓN,,6,2,183,97,1,96,,96,86,30,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,3,1,0,1,0,3
