TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EB-B,PH,EK-PCPE,POSI,UCE,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,PFYV,UPYD,EQUO,IU-UPEC,EB-AZ,O.E.,EH BILDU,PYC,HARTOS.ORG
Bizkaia,ABADIÑO,,1,3,5846,3851,26,3825,27,3798,1995,1147,272,48,2,3,8,1,709,13,6,6,28,14,87,17,,1421,,16
Gipuzkoa,ABALTZISKETA,,1,3,244,172,1,171,,171,72,78,1,1,0,,,0,1,0,0,,0,0,0,1,,89,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7968,5082,66,5016,92,4924,2886,2010,194,112,7,3,6,8,1109,17,2,6,49,44,190,29,,1120,,18
Gipuzkoa,ADUNA,,2,3,345,244,4,240,6,234,101,58,4,1,0,,,0,9,2,0,,1,2,1,2,,154,,
Álava,AGURAIN/SALVATIERRA,,51,2,3666,2237,18,2219,19,2200,1429,797,169,33,2,,,0,231,6,4,,37,36,47,29,1,806,2,
Gipuzkoa,AIA,,16,4,1527,1013,5,1008,4,1004,514,497,9,4,0,,,0,15,3,0,,2,7,9,10,,448,,
Gipuzkoa,AIZARNAZABAL,,3,4,553,380,,380,4,376,173,120,0,1,0,,,0,6,1,2,,1,0,1,1,,243,,
Bizkaia,AJANGIZ,,911,4,368,308,1,307,4,303,60,102,1,2,1,0,0,0,0,0,0,1,0,2,0,1,,192,,1
Gipuzkoa,ALBIZTUR,,4,3,255,149,,149,5,144,106,78,0,2,0,,,0,8,0,0,,0,1,0,0,,55,,
Gipuzkoa,ALEGIA,,5,3,1325,881,2,879,4,875,444,278,17,17,2,,,0,54,1,0,,1,4,14,4,,483,,
Álava,ALEGRÍA-DULANTZI,,1,2,2016,1266,20,1246,33,1213,750,362,147,27,2,,,0,206,3,5,,42,44,39,28,1,307,0,
Gipuzkoa,ALKIZA,,6,3,284,178,3,175,1,174,106,75,0,2,0,,,0,3,0,0,,0,1,2,0,,91,,
Bizkaia,ALONSOTEGI,,912,2,2310,1753,24,1729,20,1709,557,879,84,31,1,0,0,2,215,2,2,0,14,3,34,12,,422,,8
Gipuzkoa,ALTZAGA,,906,3,116,91,,91,1,90,25,34,0,1,1,,,0,2,0,0,,0,1,2,0,,49,,
Gipuzkoa,ALTZO,,7,3,299,208,2,206,3,203,91,70,0,0,0,,,0,1,0,0,,1,2,0,0,,129,,
Gipuzkoa,AMEZKETA,,8,3,755,480,,480,5,475,275,145,11,4,0,,,0,10,0,0,,1,1,6,2,,295,,
Bizkaia,AMOREBIETA-ETXANO,,3,3,14175,9924,101,9823,70,9753,4251,4054,396,149,7,5,10,9,1423,29,11,12,77,74,232,75,,3152,,38
Bizkaia,AMOROTO,,4,4,326,248,,248,2,246,78,114,0,0,0,0,0,0,2,0,0,0,0,2,1,0,,127,,0
Álava,AMURRIO,,2,3,8082,5711,83,5628,45,5583,2371,2209,466,116,1,,,6,778,23,13,,76,46,118,54,4,1672,1,
Gipuzkoa,ANDOAIN,,9,3,11724,7354,35,7319,99,7220,4370,1867,476,121,5,,,6,1836,29,16,,117,61,261,100,,2325,,
Gipuzkoa,ANOETA,,10,3,1395,994,6,988,10,978,401,291,45,17,0,,,0,107,2,1,,2,6,18,16,,473,,
Gipuzkoa,ANTZUOLA,,11,4,1692,1271,5,1266,7,1259,421,402,24,14,0,,,0,124,0,1,,3,5,22,4,,660,,
