TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,EB-B,CDS,EKA,PH,FE-JONS,POSI,PREPAL,PADE,TC-PNC,DN,FE,ARALAR,PNV...(E04),N.I.V.,CUP,UCL,EA...(E04),NOS-UP,EC,PUM+J,PFYV,PASOC,PCPE,CL,P.CANNABIS,CE...(E04),FA,PARADOS,B-GV
Bizkaia,ABADIÑO,,1,3,5930,2491,516,1975,11,1964,3439,471,371,81,2,0,0,1,8,2,1,1,0,1,30,825,2,0,0,138,1,0,2,1,8,1,0,7,3,0,3,4
Gipuzkoa,ABALTZISKETA,,1,3,229,84,22,62,,62,145,0,2,3,0,0,0,0,0,0,0,0,0,0,8,43,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7845,3383,326,3057,24,3033,4462,1195,253,233,0,0,3,0,1,2,1,0,0,0,8,1172,3,0,0,127,0,0,0,1,2,3,0,13,3,0,3,10
Gipuzkoa,ADUNA,,2,3,288,154,68,86,,86,134,3,1,3,0,1,0,0,0,0,0,0,0,0,7,46,0,0,0,24,0,0,0,0,0,0,0,1,0,0,0,0
Álava,AGURAIN/SALVATIERRA,,51,2,3358,1249,257,992,7,985,2109,264,189,28,0,0,0,0,2,2,0,0,1,0,12,346,0,0,0,117,1,0,0,1,0,1,0,17,0,0,3,1
Gipuzkoa,AIA,,16,4,1387,531,108,423,1,422,856,4,11,10,0,0,0,0,0,0,0,0,0,0,7,320,0,0,0,68,0,0,0,0,0,1,1,0,0,0,0,0
Gipuzkoa,AIZARNAZABAL,,3,4,470,203,94,109,2,107,267,4,1,1,0,0,0,0,0,0,0,0,0,0,7,61,0,0,0,32,0,0,0,0,0,0,0,1,0,0,0,0
Bizkaia,AJANGIZ,,911,4,358,253,104,149,2,147,105,1,0,4,0,0,0,0,0,0,0,0,0,0,2,115,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ALBIZTUR,,4,3,247,97,13,84,,84,150,1,2,1,0,0,0,0,0,0,0,0,0,0,2,62,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ALEGIA,,5,3,1370,574,199,375,4,371,796,38,29,10,0,0,0,0,0,0,0,0,0,0,11,166,0,0,0,114,0,0,0,0,0,2,0,1,0,0,0,0
Álava,ALEGRÍA-DULANTZI,,1,2,1531,628,66,562,4,558,903,163,110,24,0,0,1,0,0,0,0,0,0,1,9,191,1,0,0,46,0,0,0,0,3,0,0,7,0,0,0,2
Gipuzkoa,ALKIZA,,6,3,239,90,18,72,2,70,149,0,0,5,0,0,0,0,0,0,0,0,0,0,5,51,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,ALONSOTEGI,,912,2,2314,1357,162,1195,2,1193,957,229,120,33,0,0,0,0,0,0,0,0,0,0,2,666,1,0,0,135,0,0,0,0,0,1,0,5,0,0,0,1
Gipuzkoa,ALTZAGA,,906,3,120,65,32,33,,33,55,2,0,6,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0
Gipuzkoa,ALTZO,,7,3,273,131,71,60,1,59,142,0,3,1,1,0,0,0,0,0,0,0,0,0,5,35,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2
Gipuzkoa,AMEZKETA,,8,3,828,313,142,171,2,169,515,0,13,9,0,0,0,0,0,0,0,0,0,0,8,94,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,AMOREBIETA-ETXANO,,3,3,13946,6714,1081,5633,41,5592,7232,1227,540,316,1,2,3,2,4,3,1,0,1,1,77,2854,1,1,0,489,1,4,7,1,7,9,0,25,1,0,2,12
Bizkaia,AMOROTO,,4,4,303,172,28,144,1,143,131,1,0,0,0,0,0,0,0,0,0,0,0,0,4,126,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
Álava,AMURRIO,,2,3,8009,3852,434,3418,19,3399,4157,779,578,97,0,0,1,0,3,3,0,1,0,0,51,1374,2,0,0,465,1,0,2,0,2,2,0,22,0,1,2,13
Gipuzkoa,ANDOAIN,,9,3,11754,4900,947,3953,19,3934,6854,1470,639,184,2,6,1,0,7,3,1,1,0,1,63,1063,3,0,0,436,0,1,4,0,7,1,0,21,7,0,1,12
Gipuzkoa,ANOETA,,10,3,1426,551,212,339,4,335,875,68,54,11,0,0,1,0,0,0,0,0,0,0,12,142,0,0,0,37,0,0,0,0,0,1,0,7,0,0,1,1
Gipuzkoa,ANTZUOLA,,11,4,1654,854,293,561,4,557,800,115,34,11,0,0,0,0,0,0,0,0,0,0,31,241,0,0,0,120,0,1,0,0,0,1,0,2,0,0,0,1
Bizkaia,ARAKALDO,,5,3,84,55,22,33,1,32,29,1,3,1,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ARAMA,,12,3,134,79,33,46,,46,55,2,4,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1
Álava,ARAMAIO,,3,2,1245,590,152,438,2,436,655,25,17,13,0,0,0,0,0,0,0,0,0,0,10,193,0,0,0,173,1,0,0,0,0,1,0,2,0,0,0,1
Bizkaia,ARANTZAZU,,6,3,246,174,50,124,1,123,72,2,6,2,0,0,0,0,0,0,0,0,0,0,2,89,0,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0
Bizkaia,AREATZA,,93,3,825,501,80,421,3,418,324,29,76,4,0,2,0,0,0,0,0,0,0,0,14,258,0,0,0,30,1,0,0,0,0,2,0,0,0,0,0,2
Gipuzkoa,ARETXABALETA,,13,4,5256,2303,551,1752,8,1744,2953,392,150,70,0,0,1,0,3,0,0,0,0,0,144,649,2,0,0,302,0,0,0,1,1,2,1,15,1,0,2,8
Álava,ARMIÑÓN,,6,2,142,87,4,83,,83,55,26,35,3,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Álava,ARRAIA-MAEZTU,,37,2,644,262,27,235,5,230,382,36,67,9,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1
Bizkaia,ARRANKUDIAGA,,9,3,676,422,123,299,1,298,254,13,19,5,0,0,0,1,0,0,1,0,0,0,3,234,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,19515,8547,1831,6716,34,6682,10968,1952,881,430,1,1,0,0,8,1,3,2,1,0,217,2115,4,2,0,962,2,1,7,12,3,13,0,39,0,0,3,22
Bizkaia,ARRATZU,,914,4,311,220,85,135,,135,91,1,1,3,0,0,0,0,0,0,0,0,0,0,2,111,0,0,0,15,0,0,0,0,0,1,0,1,0,0,0,0
Álava,ARRATZUA-UBARRUNDIA,,8,2,676,301,40,261,1,260,375,56,58,7,0,0,1,0,0,0,0,0,0,0,13,120,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2
Bizkaia,ARRIETA,,10,4,443,242,27,215,1,214,201,4,8,3,0,0,0,0,0,0,0,0,0,0,4,183,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,ARRIGORRIAGA,,11,3,9662,4298,521,3777,23,3754,5364,1084,524,203,0,0,2,0,3,3,0,1,3,0,24,1644,3,1,0,190,2,0,4,1,1,4,0,20,11,0,3,23
Bizkaia,ARTEA,,23,3,567,390,85,305,2,303,177,3,28,3,0,0,0,0,0,0,0,0,0,0,7,180,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,ARTZENTALES,,8,2,575,332,23,309,2,307,243,7,15,9,0,0,0,0,0,0,0,0,0,0,5,244,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,2
Álava,ARTZINIEGA,,4,3,1184,716,63,653,5,648,468,98,164,12,0,0,0,0,1,0,0,0,0,0,29,287,2,0,0,43,0,0,1,2,0,0,0,2,0,0,1,6
Álava,ASPARRENA,,9,2,1335,567,150,417,,417,768,81,67,19,0,0,2,0,0,2,0,0,0,1,19,166,0,1,0,50,1,1,1,1,3,0,0,0,0,0,0,2
Gipuzkoa,ASTEASU,,14,3,1091,380,153,227,2,225,711,20,13,13,0,0,0,0,0,0,0,0,0,0,10,96,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ASTIGARRAGA,,903,1,3248,1136,379,757,5,752,2112,132,104,24,0,0,0,0,0,0,0,0,0,0,21,288,0,0,0,174,0,0,1,0,0,0,0,2,3,0,1,2
Gipuzkoa,ATAUN,,15,3,1338,807,393,414,1,413,531,13,1,8,0,0,0,0,0,0,0,0,0,0,28,243,0,0,0,117,0,0,0,0,0,2,0,0,0,0,1,0
Bizkaia,ATXONDO,,91,3,1180,568,175,393,2,391,612,61,35,7,0,0,0,0,0,0,0,0,0,0,8,257,0,0,0,21,0,0,0,1,0,0,0,0,1,0,0,0
Bizkaia,AULESTI,,70,4,562,330,157,173,6,167,232,0,3,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
Álava,AYALA/AIARA,,10,3,2055,1098,120,978,7,971,957,94,183,24,0,0,0,0,0,0,0,0,0,0,17,560,2,0,0,84,0,0,0,0,0,0,1,4,0,0,0,2
Gipuzkoa,AZKOITIA,,17,4,8577,4131,680,3451,16,3435,4446,470,334,75,0,4,1,0,4,0,0,0,9,0,66,2084,5,0,0,351,0,0,0,0,4,6,0,14,0,0,1,7
Gipuzkoa,AZPEITIA,,18,4,11256,5076,1159,3917,23,3894,6180,297,276,54,1,4,0,1,3,0,1,1,1,0,74,2271,1,0,1,874,0,6,1,0,2,3,1,12,1,0,2,6
Álava,AÑANA,,49,2,172,117,12,105,1,104,55,23,20,3,1,0,0,0,0,0,0,0,0,0,1,51,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1
Bizkaia,BAKIO,,12,4,1670,1043,160,883,4,879,627,37,46,28,2,1,0,0,0,0,0,0,0,0,13,631,0,0,0,111,0,0,1,0,0,1,0,5,1,0,1,1
Gipuzkoa,BALIARRAIN,,904,3,90,38,24,14,,14,52,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,BALMASEDA,,90,2,6099,3264,243,3021,18,3003,2835,872,344,65,73,3,2,0,2,0,2,1,1,0,8,1398,3,0,1,183,0,0,12,2,1,1,0,8,1,0,4,16
Bizkaia,BARAKALDO,,13,2,82520,34819,2146,32673,179,32494,47701,14224,7308,1631,8,5,7,5,38,4,12,14,8,2,95,7806,24,1,3,921,29,3,30,29,19,21,6,114,10,5,22,90
Bizkaia,BARRIKA,,14,4,1088,559,92,467,1,466,529,59,58,18,0,0,0,0,1,0,0,0,0,0,9,281,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,1
Álava,BARRUNDIA,,13,2,646,248,45,203,,203,398,19,37,19,1,1,1,0,0,0,0,0,0,0,5,105,0,0,0,8,0,0,2,0,0,2,0,2,0,0,0,1
Bizkaia,BASAURI,,15,3,38673,16849,1298,15551,62,15489,21824,5879,2955,628,4,1,13,0,20,2,2,1,3,3,70,5286,14,1,1,450,2,0,13,3,10,12,3,66,3,1,11,32
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,274,166,5,161,1,160,108,24,79,0,0,0,0,0,0,0,1,0,0,0,0,53,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Gipuzkoa,BEASAIN,,19,3,10152,4278,675,3603,18,3585,5874,950,438,145,0,1,0,0,0,4,1,1,0,0,91,1428,0,0,0,486,23,0,0,0,1,0,0,7,0,0,1,8
Bizkaia,BEDIA,,92,3,813,477,62,415,3,412,336,35,29,7,0,0,0,0,0,0,1,1,0,0,0,331,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,BEIZAMA,,20,4,140,81,31,50,1,49,59,0,1,0,0,0,0,0,0,0,0,0,0,0,2,37,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,BELAUNTZA,,21,3,262,77,31,46,,46,185,0,3,0,0,0,0,0,0,0,0,0,0,0,5,28,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0
Bizkaia,BERANGO,,16,4,4806,2337,323,2014,8,2006,2469,453,355,102,0,0,2,0,3,0,0,1,1,0,26,859,1,0,0,181,1,0,0,1,1,1,0,8,1,0,2,7
Álava,BERANTEVILLA,,14,2,414,220,8,212,1,211,194,25,79,5,1,0,1,0,0,0,0,0,0,0,0,90,0,0,0,7,0,0,0,0,0,0,0,2,0,0,1,0
Gipuzkoa,BERASTEGI,,22,3,796,293,99,194,2,192,503,11,6,8,0,0,0,0,0,0,0,0,0,0,2,106,0,0,0,56,0,0,0,0,0,1,0,0,0,0,0,2
Gipuzkoa,BERGARA,,74,4,12534,5296,1242,4054,21,4033,7238,666,342,177,2,0,2,0,1,1,1,0,0,0,304,1835,5,0,0,652,0,1,1,1,0,6,0,11,0,0,2,23
Bizkaia,BERMEO,,17,4,14225,7261,981,6280,20,6260,6964,505,227,68,0,0,1,1,3,0,0,1,0,0,42,3360,8,0,0,1992,0,0,3,0,2,6,3,19,2,0,1,16
Álava,BERNEDO,,16,2,494,193,18,175,1,174,301,22,61,2,0,0,0,0,0,0,0,0,0,0,1,71,0,0,0,13,0,0,1,0,0,0,0,1,0,0,0,2
Bizkaia,BERRIATUA,,18,4,915,421,142,279,,279,494,10,3,2,0,0,0,0,0,1,0,0,0,0,8,232,0,0,0,19,0,0,1,0,0,0,0,3,0,0,0,0
